"m","n","distribution","t_interval_lower","t_interval_upper","likelihood_mle_lower","likelihood_mle_upper","likelihood_lr_lower","likelihood_lr_upper","nonparametric_lower","nonparametric_upper"
50,1000,"t",-0.0854661175208182,0.0403040220894694,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.0854661175208182,0.0403040220894694
50,1000,"gamma",1.80050073423004,1.97858777616841,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.80050073423004,1.97858777616841
50,1000,"lognormal",1.54903306707851,1.79973671014633,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.54903306707851,1.79973671014633
50,1000,"weibull",0.85388755801112,0.916054652708146,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.85388755801112,0.916054652708146
100,10,"normal",-0.45914638902488,0.532212175520257,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.45914638902488,0.532212175520257
100,10,"t",-0.60966431166218,0.632174492567372,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.60966431166218,0.632174492567372
100,10,"gamma",1.02472366228282,2.59899912705256,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,1.02472366228282,2.59899912705256
100,10,"lognormal",0.737363730930879,2.61268120799573,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.737363730930879,2.61268120799573
100,10,"weibull",0.564805319132731,1.00711446168276,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.564805319132731,1.00711446168276
100,50,"normal",-0.183198006999925,0.294279363769804,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.183198006999925,0.294279363769804
100,50,"t",-0.250168449111063,0.336987641577419,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.250168449111063,0.336987641577419
100,50,"gamma",1.18007423655852,1.81470626455009,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.18007423655852,1.81470626455009
100,50,"lognormal",1.1899540641632,2.14990641050424,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.1899540641632,2.14990641050424
100,50,"weibull",0.737234928098189,0.965657812864571,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.737234928098189,0.965657812864571
100,100,"normal",-0.0856119744395563,0.292995484721758,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.0856119744395563,0.292995484721758
100,100,"t",-0.132032871204939,0.311086355680028,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.132032871204939,0.311086355680028
100,100,"gamma",1.49071625924121,1.94449054922107,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.49071625924121,1.94449054922107
100,100,"lognormal",1.38009924967485,2.08832507593478,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.38009924967485,2.08832507593478
100,100,"weibull",0.804248818594216,0.964161556053168,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.804248818594216,0.964161556053168
100,1000,"normal",-0.0535883911539553,0.0647472878170987,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.0535883911539553,0.0647472878170987
100,1000,"t",-0.0855075552641396,0.0518783254818779,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.0855075552641396,0.0518783254818779
100,1000,"gamma",1.80015147572218,1.98038328860966,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.80015147572218,1.98038328860966
100,1000,"lognormal",1.55622393752703,1.78233305935124,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.55622393752703,1.78233305935124
100,1000,"weibull",0.853892254054446,0.91698265867612,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.853892254054446,0.91698265867612
200,10,"normal",-0.475739863408871,0.643385000299418,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.475739863408871,0.643385000299418
200,10,"t",-0.573581446608358,0.734335386355074,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.573581446608358,0.734335386355074
200,10,"gamma",0.97612609918853,2.58149961331458,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,0.97612609918853,2.58149961331458
200,10,"lognormal",0.696166479799406,2.83948126885547,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.696166479799406,2.83948126885547
200,10,"weibull",0.543861763131117,1.04154947558508,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.543861763131117,1.04154947558508
200,50,"normal",-0.192427901810799,0.283193164280986,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.192427901810799,0.283193164280986
200,50,"t",-0.240474015498952,0.373289252767145,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.240474015498952,0.373289252767145
200,50,"gamma",1.18657508867019,1.83340161947428,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.18657508867019,1.83340161947428
200,50,"lognormal",1.18149247541397,2.08151495351536,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.18149247541397,2.08151495351536
200,50,"weibull",0.733778089969054,0.959354857195727,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.733778089969054,0.959354857195727
200,100,"normal",-0.0903045614101958,0.296863420649334,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.0903045614101958,0.296863420649334
200,100,"t",-0.103359668919978,0.327036014493864,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.103359668919978,0.327036014493864
200,100,"gamma",1.49323876788944,1.91042849364829,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.49323876788944,1.91042849364829
200,100,"lognormal",1.37669564081477,2.12822627266642,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.37669564081477,2.12822627266642
200,100,"weibull",0.807172901320026,0.975306289901164,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.807172901320026,0.975306289901164
200,1000,"normal",-0.0508864979706629,0.0662057552462968,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.0508864979706629,0.0662057552462968
200,1000,"t",-0.09387350144206,0.0670353873294047,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.09387350144206,0.0670353873294047
200,1000,"gamma",1.8005342605101,1.96724418788548,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.8005342605101,1.96724418788548
200,1000,"lognormal",1.54474378895981,1.80387958617249,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.54474378895981,1.80387958617249
200,1000,"weibull",0.857172551936878,0.917459948742529,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.857172551936878,0.917459948742529
500,10,"normal",-0.449697017307127,0.625454913986848,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.449697017307127,0.625454913986848
500,10,"t",-0.707625240227182,0.719295560127606,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.707625240227182,0.719295560127606
500,10,"gamma",0.94083357682687,2.66244158267733,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,0.94083357682687,2.66244158267733
500,10,"lognormal",0.7118204281166,2.82780609556535,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.7118204281166,2.82780609556535
500,10,"weibull",0.515280761154623,1.02621321688229,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.515280761154623,1.02621321688229
500,50,"normal",-0.213506825602463,0.257368489113669,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.213506825602463,0.257368489113669
500,50,"t",-0.247365059692246,0.373664076652797,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.247365059692246,0.373664076652797
500,50,"gamma",1.1959818929364,1.84347020548239,1.2153594171202,1.84488693059187,1.2153594171202,1.84488693059187,1.1959818929364,1.84347020548239
500,50,"lognormal",1.17195461071176,2.06243883790127,1.11704249774623,2.05208768853064,1.11704249774623,2.05208768853064,1.17195461071176,2.06243883790127
500,50,"weibull",0.733106089882215,0.966785343173174,0.721417321210873,0.969263476957991,0.721417321210874,0.969263476957991,0.733106089882215,0.966785343173174
500,100,"normal",-0.0709892138289857,0.276965894981623,-0.0885060037812652,0.269317821053678,-0.0885060037812648,0.269317821053679,-0.0709892138289857,0.276965894981623
500,100,"t",-0.105585263015271,0.343142055826784,-0.116695173986035,0.33571144202842,-0.116695173986034,0.335711442028421,-0.105585263015271,0.343142055826784
500,100,"gamma",1.5108600012581,1.93945724635957,1.50258142386486,1.9404177207076,1.50258142386486,1.9404177207076,1.5108600012581,1.93945724635957
500,100,"lognormal",1.37568013873814,2.05430771303282,1.31501623216508,1.99007473667771,1.31501623216508,1.9900747366777,1.37568013873814,2.05430771303282
500,100,"weibull",0.802760859260099,0.971455585675392,0.795657150690465,0.974956428062647,0.795657150690465,0.974956428062646,0.802760859260099,0.971455585675392
500,1000,"normal",-0.0503591309557339,0.0724544934957617,-0.0453380255086618,0.0775937573784377,-0.0453380255086602,0.0775937573784393,-0.0503591309557339,0.0724544934957617
500,1000,"t",-0.0942269784197568,0.0498909750597381,-0.0919400360172709,0.0513613158841806,-0.0919400360172699,0.0513613158841816,-0.0942269784197568,0.0498909750597381
500,1000,"gamma",1.80081476752184,1.96625155819807,1.79981424436112,1.96011579797153,1.79981424436111,1.96011579797152,1.80081476752184,1.96625155819807
500,1000,"lognormal",1.54907039061161,1.80748734957438,1.5409182384586,1.80245514806289,1.54091823845859,1.80245514806288,1.54907039061161,1.80748734957438
500,1000,"weibull",0.859571947616227,0.916851249402301,0.8615168323587,0.918877187852133,0.861516832358701,0.918877187852134,0.859571947616227,0.916851249402301
1000,10,"normal",-0.449923382156669,0.629524364972797,-0.516535835101875,0.665787123296199,-0.516535835101875,0.665787123296198,-0.449923382156669,0.629524364972797
1000,10,"t",-0.721192352656003,0.763939701111641,-0.77772213823778,0.827548614151669,-0.77772213823778,0.827548614151669,-0.721192352656003,0.763939701111641
1000,10,"gamma",0.942860133746727,2.70744001676962,0.910191958870685,2.74826412292358,0.910191958870685,2.74826412292358,0.942860133746727,2.70744001676962
1000,10,"lognormal",0.714179231871895,2.85070971955247,0.528779635555873,2.85070463947161,0.528779635555871,2.85070463947161,0.714179231871895,2.85070971955247
1000,10,"weibull",0.524958915079494,1.06018388036722,0.488792415949567,1.0513918881281,0.488792415949567,1.0513918881281,0.524958915079494,1.06018388036722
1000,50,"normal",-0.215876982021221,0.283193164280986,-0.222234516283627,0.291041614480768,-0.222234516283627,0.291041614480769,-0.215876982021221,0.283193164280986
1000,50,"t",-0.245535592506299,0.390189187498382,-0.25767056240059,0.421885084906028,-0.257670562400591,0.421885084906028,-0.245535592506299,0.390189187498382
