m,n,distribution,analytic_mean,bs_mean,BS_t_interval_lower,analytic_t_interval_lower,BS_t_interval_upper,analytic_t_interval_upper,analytic_se,bs_se,BS_likelihood_mle_lower,BS_likelihood_lr_lower,BS_nonparametric_lower,BS_likelihood_mle_upper,BS_likelihood_lr_upper,BS_nonparametric_upper
2000,10,normal,0,0.112017232,-0.436509313,-0.619806421,0.660543777,0.619806421,0.316227766,0.289385259,-0.516535835,-0.516521175,-0.436509313,0.665787123,0.665774527,0.660543777
5000,10,normal,0,0.102495166,-0.44483547,-0.619806421,0.649825803,0.619806421,0.316227766,0.288134428,-0.516535835,-0.516521175,-0.44483547,0.665787123,0.665774527,0.649825803
10000,10,normal,0,0.096376425,-0.459031037,-0.619806421,0.651783887,0.619806421,0.316227766,0.286783284,-0.516535835,-0.516521175,-0.459031037,0.665787123,0.665774527,0.651783887
200,50,normal,0,0.045382631,-0.192427902,-0.277185858,0.283193164,0.277185858,0.141421356,0.131786804,-0.222234516,-0.222201304,-0.192427902,0.291041614,0.291047971,0.283193164
500,50,normal,0,0.021930832,-0.213506826,-0.277185858,0.257368489,0.277185858,0.141421356,0.129979732,-0.222234516,-0.222201304,-0.213506826,0.291041614,0.291047971,0.257368489
1000,50,normal,0,0.033658091,-0.215876982,-0.277185858,0.283193164,0.277185858,0.141421356,0.131316207,-0.222234516,-0.222201304,-0.215876982,0.291041614,0.291047971,0.283193164
2000,50,normal,0,0.03499973,-0.211516212,-0.277185858,0.281515673,0.277185858,0.141421356,0.128029262,-0.222234516,-0.222201304,-0.211516212,0.291041614,0.291047971,0.281515673
5000,50,normal,0,0.039082966,-0.211514561,-0.277185858,0.289680494,0.277185858,0.141421356,0.128563166,-0.222234516,-0.222201304,-0.211514561,0.291041614,0.291047971,0.289680494
10000,50,normal,0,0.039532027,-0.213159871,-0.277185858,0.292223924,0.277185858,0.141421356,0.128579176,-0.222234516,-0.222201304,-0.213159871,0.291041614,0.291047971,0.292223924
200,100,normal,0,0.10327943,-0.090304561,-0.196,0.296863421,0.196,0.1,0.098045877,-0.088506004,-0.088498117,-0.090304561,0.269317821,0.269313296,0.296863421
500,100,normal,0,0.102988341,-0.070989214,-0.196,0.276965895,0.196,0.1,0.089810152,-0.088506004,-0.088498117,-0.070989214,0.269317821,0.269313296,0.276965895
1000,100,normal,0,0.096049857,-0.077181132,-0.196,0.269280846,0.196,0.1,0.090460007,-0.088506004,-0.088498117,-0.077181132,0.269317821,0.269313296,0.269280846
2000,100,normal,0,0.095296629,-0.079445042,-0.196,0.270038299,0.196,0.1,0.090568903,-0.088506004,-0.088498117,-0.079445042,0.269317821,0.269313296,0.270038299
5000,100,normal,0,0.089538786,-0.092522865,-0.196,0.271600437,0.196,0.1,0.091407745,-0.088506004,-0.088498117,-0.092522865,0.269317821,0.269313296,0.271600437
10000,100,normal,0,0.089738696,-0.08971438,-0.196,0.269191771,0.196,0.1,0.091343166,-0.088506004,-0.088498117,-0.08971438,0.269317821,0.269313296,0.269191771
200,1000,normal,0,0.007659629,-0.050886498,-0.061980642,0.066205755,0.061980642,0.031622777,0.032160286,-0.045338026,-0.045306441,-0.050886498,0.077593757,0.077591404,0.066205755
500,1000,normal,0,0.011047681,-0.050359131,-0.061980642,0.072454493,0.061980642,0.031622777,0.031559237,-0.045338026,-0.045306441,-0.050359131,0.077593757,0.077591404,0.072454493
1000,1000,normal,0,0.015697037,-0.045907999,-0.061980642,0.077302072,0.061980642,0.031622777,0.031467231,-0.045338026,-0.045306441,-0.045907999,0.077593757,0.077591404,0.077302072
2000,1000,normal,0,0.015598711,-0.045907999,-0.061980642,0.077105422,0.061980642,0.031622777,0.031249912,-0.045338026,-0.045306441,-0.045907999,0.077593757,0.077591404,0.077105422
